name,handedness,height,weight,avg,HR,weight_HR_mean,weight_counts
Fred Norman,B,68,155,0.125,0,6.66666666667,15.0
Woody Woodward,R,74,180,0.236,1,34.4868421053,134.0
Ted Martinez,R,72,165,0.24,7,33.5526315789,57.0
Jim Anderson,R,72,170,0.218,13,28.9491525424,94.0
Lenn Sakata,R,69,160,0.23,25,33.875,50.0
Dave Duncan,R,74,190,0.214,109,51.0,120.0
Randy Jones,R,72,178,0.132,0,20.7777777778,10.0
Dick Billings,R,73,195,0.227,16,54.6101694915,99.0
Bob Veselic,R,72,175,0.0,0,34.3382352941,118.0
Bruce Bochte,L,75,195,0.282,100,74.1212121212,99.0
Bernie Carbo,L,71,173,0.264,96,47.3333333333,5.0
Vic Davalillo,L,67,150,0.279,36,16.6666666667,12.0
Burt Hooton,R,73,210,0.123,4,49.28,33.0
Chuck Hockenbery,B,73,195,0.0,0,17.1428571429,99.0
Bob Ferris,R,78,225,0.0,0,23.0,3.0
Fernando Gonzalez,R,70,165,0.235,17,33.5526315789,57.0
Jim Sundberg,R,72,190,0.248,95,51.0,120.0
Andy Kosco,R,75,205,0.236,73,28.1818181818,48.0
Steve Huntz,B,73,204,0.206,16,16.0,2.0
Gary Wheelock,R,75,205,0.0,0,28.1818181818,48.0
Lenny Faedo,R,72,170,0.251,5,28.9491525424,94.0
John Lowenstein,L,72,175,0.253,116,47.3076923077,118.0
Don Kessinger,B,73,170,0.252,14,13.1818181818,94.0
Joe Hague,L,72,195,0.239,40,74.1212121212,99.0
Bake McBride,L,74,190,0.299,63,62.9583333333,120.0
Dick Davis,R,75,190,0.265,27,51.0,120.0
Richie Scheinblum,B,73,180,0.263,13,69.6428571429,134.0
Ed Herrmann,L,73,195,0.24,80,74.1212121212,99.0
Mike Rochford,L,76,205,0.0,0,44.6666666667,48.0
Jeff Schneider,B,75,195,0.0,0,17.1428571429,99.0
Bob Molinaro,L,72,190,0.264,14,62.9583333333,120.0
Mike Hegan,L,73,188,0.242,53,137.5,8.0
Mike Diaz,R,74,195,0.247,31,54.6101694915,99.0
Tim Foli,R,72,179,0.251,25,25.0,1.0
Alan Knicely,R,72,190,0.213,12,51.0,120.0
Tim Laudner,R,75,212,0.225,77,164.5,3.0
Jose Morales,R,71,187,0.287,26,57.9,11.0
Luis Encarnacion,R,70,178,0.0,0,20.7777777778,10.0
Rick Kreuger,R,74,185,0.0,0,33.0921052632,122.0
Juan Marichal,R,72,185,0.165,4,33.0921052632,122.0
Vida Blue,B,72,189,0.104,4,4.0,4.0
Angel Moreno,L,69,165,0.0,0,44.2142857143,57.0
Roger Weaver,R,75,190,0.0,0,51.0,120.0
Stan Papi,R,72,170,0.218,7,28.9491525424,94.0
Rob Wilfong,L,73,180,0.248,39,43.6818181818,134.0
Chris Knapp,R,77,195,0.0,0,54.6101694915,99.0
Steve Henderson,R,74,190,0.28,68,51.0,120.0
Rob Picciolo,R,74,185,0.234,17,33.0921052632,122.0
Don Welchel,R,76,205,0.0,0,28.1818181818,48.0
Randy Wiles,L,73,185,0.0,0,51.9428571429,122.0
Roberto Pena,R,68,170,0.245,13,28.9491525424,94.0
Bob Dernier,R,72,160,0.255,23,33.875,50.0
Bill Melton,R,74,200,0.253,160,65.9782608696,64.0
Albert Hall,B,71,155,0.251,5,6.66666666667,15.0
Barbaro Garbey,R,70,170,0.267,11,28.9491525424,94.0
John Milner,L,72,185,0.249,131,51.9428571429,122.0
Rich Reese,L,75,185,0.253,52,51.9428571429,122.0
Chris Bando,B,72,195,0.227,27,17.1428571429,99.0
Bill Buckner,L,72,185,0.289,174,51.9428571429,122.0
Jack Hiatt,R,74,190,0.251,22,51.0,120.0
Nelson Mathews,R,76,195,0.223,22,54.6101694915,99.0
Larry Lintz,B,69,150,0.227,0,0.0,12.0
Ron Theobald,R,68,165,0.248,2,33.5526315789,57.0
Dewey Robinson,R,72,180,0.0,0,34.4868421053,134.0
Rafael Santana,R,73,165,0.246,13,33.5526315789,57.0
Jerry Hairston,B,70,170,0.258,30,13.1818181818,94.0
Tony Arnold,R,71,170,0.0,0,28.9491525424,94.0
Jeff Schattinger,L,77,200,0.0,0,55.5333333333,64.0
Ike Brookens,R,77,170,0.0,0,28.9491525424,94.0
Tommie Aaron,R,75,190,0.229,13,51.0,120.0
Steve Dillard,R,73,180,0.243,13,34.4868421053,134.0
Win Remmerswaal,R,74,160,0.0,0,33.875,50.0
Jeff Peterek,R,74,195,0.0,0,54.6101694915,99.0
George Scott,R,74,200,0.268,271,65.9782608696,64.0
Jeff Shaver,R,75,195,0.0,0,54.6101694915,99.0
Ken Walters,R,73,180,0.231,11,34.4868421053,134.0
Gorman Thomas,R,74,210,0.225,268,49.28,33.0
Paul Dade,R,73,185,0.27,10,33.0921052632,122.0
Darrell Porter,L,72,193,0.247,188,214.5,9.0
Tim Johnson,L,73,170,0.223,0,52.875,94.0
Fred Stanley,R,70,165,0.216,10,33.5526315789,57.0
Larry Bowa,B,70,155,0.26,15,6.66666666667,15.0
Tim Corcoran,L,71,175,0.27,12,47.3076923077,118.0
Jim Spencer,L,74,195,0.25,146,74.1212121212,99.0
Pete LaCock,L,74,200,0.257,27,55.5333333333,64.0
Carl Morton,R,72,200,0.156,7,65.9782608696,64.0
Gary Gray,R,72,187,0.24,24,57.9,11.0
Matty Alou,L,69,160,0.307,31,73.5714285714,50.0
Pete Filson,B,74,195,0.0,0,17.1428571429,99.0
Jim Dwyer,L,70,165,0.26,77,44.2142857143,57.0
Dalton Jones,L,73,180,0.235,41,43.6818181818,134.0
Rennie Stennett,R,71,160,0.274,41,33.875,50.0
Jim Gideon,R,75,190,0.0,0,51.0,120.0
Jerry May,R,74,190,0.234,15,51.0,120.0
Rich McKinney,R,71,185,0.225,20,33.0921052632,122.0
Clint Hurdle,L,75,195,0.259,32,74.1212121212,99.0
Mike Andrews,R,75,195,0.258,66,54.6101694915,99.0
Bobby Clark,R,72,190,0.239,19,51.0,120.0
Jeff Twitty,L,74,185,0.0,0,51.9428571429,122.0
Cliff Johnson,R,76,215,0.258,196,51.3157894737,23.0
Steve Cummings,B,74,200,0.0,0,2.0,64.0
Donn Clendenon,R,76,209,0.274,159,242.0,3.0
Charlie James,R,73,195,0.255,29,54.6101694915,99.0
Bob Horner,R,73,195,0.277,218,54.6101694915,99.0
Tom Veryzer,R,73,175,0.241,14,34.3382352941,118.0
Jose Cecena,R,71,180,0.0,0,34.4868421053,134.0
George Smith,R,70,170,0.205,9,28.9491525424,94.0
Jim Essian,R,74,195,0.244,33,54.6101694915,99.0
Onix Concepcion,R,66,160,0.239,3,33.875,50.0
Boots Day,L,69,160,0.256,8,73.5714285714,50.0
Brian Giles,R,73,165,0.228,10,33.5526315789,57.0
Garry Maddox,R,75,175,0.285,117,34.3382352941,118.0
Alex Trevino,R,70,165,0.249,23,33.5526315789,57.0
Jim Price,R,72,192,0.214,18,117.8,8.0
Felix Millan,R,71,172,0.279,22,11.0,3.0
Steve Garvey,R,70,192,0.294,272,117.8,8.0
Don Mincher,L,75,205,0.249,200,44.6666666667,48.0
Greg Erardi,R,73,190,0.0,0,51.0,120.0
Jim Farr,R,73,195,0.0,0,54.6101694915,99.0
Tony Cloninger,R,72,210,0.192,11,49.28,33.0
Jim Gosger,L,71,185,0.226,30,51.9428571429,122.0
Chuck Harrison,R,70,185,0.238,17,33.0921052632,122.0
Mike Ivie,R,75,205,0.269,81,28.1818181818,48.0
Frank Dimichele,R,75,205,0.0,0,28.1818181818,48.0
Bob Veale,B,78,212,0.114,0,0.0,3.0
Marvell Wynne,L,71,175,0.247,40,47.3076923077,118.0
Dusty Baker,R,74,183,0.278,242,70.75,7.0
Tucker Ashford,R,73,195,0.218,6,54.6101694915,99.0
Ned Yost,R,73,190,0.212,16,51.0,120.0
Bob Stinson,B,71,180,0.25,33,69.6428571429,134.0
Mike Warren,R,73,175,0.0,0,34.3382352941,118.0
Gaylord Perry,R,76,205,0.131,6,28.1818181818,48.0
Dave Marshall,L,73,182,0.246,16,25.3333333333,8.0
Mickey Hatcher,R,74,200,0.28,38,65.9782608696,64.0
Roger Repoz,L,75,190,0.224,82,62.9583333333,120.0
Bill Fulton,R,75,195,0.0,0,54.6101694915,99.0
John Orsino,R,75,215,0.249,40,51.3157894737,23.0
Larry Anderson,R,75,190,0.0,0,51.0,120.0
Johnny Briggs,L,73,190,0.253,139,62.9583333333,120.0
Craig Mitchell,R,75,180,0.0,0,34.4868421053,134.0
Dave Hostetler,R,76,215,0.229,37,51.3157894737,23.0
Bob Jones,L,74,195,0.221,20,74.1212121212,99.0
Keith Hernandez,L,72,180,0.296,162,43.6818181818,134.0
Alfredo Martinez,R,75,185,0.0,0,33.0921052632,122.0
Dean Chance,R,75,200,0.066,0,65.9782608696,64.0
Willie Upshaw,L,72,185,0.262,123,51.9428571429,122.0
Dick Green,R,70,180,0.24,80,34.4868421053,134.0
Dane Iorg,L,72,180,0.276,14,43.6818181818,134.0
Richie Hebner,L,73,195,0.276,203,74.1212121212,99.0
Fran Healy,R,77,220,0.25,20,68.4,12.0
Doc Edwards,R,74,215,0.238,15,51.3157894737,23.0
Sandy Alomar,B,69,140,0.245,13,13.0,1.0
Joe Strain,R,70,169,0.25,1,1.0,3.0
Gene Richards,L,72,175,0.29,26,47.3076923077,118.0
Buddy Bell,R,73,180,0.279,201,34.4868421053,134.0
Al Woods,L,75,190,0.271,35,62.9583333333,120.0
Rudy Law,L,73,165,0.271,18,44.2142857143,57.0
Joel Davis,L,77,205,0.0,0,44.6666666667,48.0
Jody Davis,R,76,192,0.245,127,117.8,8.0
Mike Edwards,R,70,154,0.25,2,5.0,2.0
Bill Mooneyham,R,72,175,0.0,0,34.3382352941,118.0
John Hobbs,R,75,190,0.0,0,51.0,120.0
Deron Johnson,R,74,200,0.244,245,65.9782608696,64.0
John Denny,R,75,185,0.17,0,33.0921052632,122.0
Don Wert,R,70,162,0.242,77,28.6666666667,3.0
Mike Fiore,L,72,175,0.227,13,47.3076923077,118.0
Miguel Dilone,B,72,160,0.265,6,28.75,50.0
Greg Luzinski,R,73,220,0.276,307,68.4,12.0
Bobby Tolan,L,71,170,0.265,86,52.875,94.0
Karl Best,R,76,190,0.0,0,51.0,120.0
Steve Barr,L,76,200,0.0,0,55.5333333333,64.0
Ron Woods,R,70,168,0.233,26,80.0,3.0
Tony Horton,R,75,210,0.268,76,49.28,33.0
Randy Hundley,R,71,170,0.236,82,28.9491525424,94.0
Jose Tartabull,L,71,165,0.261,2,44.2142857143,57.0
Ben Oglivie,L,74,160,0.273,235,73.5714285714,50.0
Luis Sanchez,R,74,170,0.0,0,28.9491525424,94.0
Bob Johnson,R,70,175,0.272,44,34.3382352941,118.0
Don Buford,B,67,160,0.264,93,28.75,50.0
Duane Kuiper,L,72,175,0.271,1,47.3076923077,118.0
Brant Alyea,R,75,215,0.247,38,51.3157894737,23.0
Jerry Narron,L,75,205,0.211,21,44.6666666667,48.0
Lou Johnson,R,71,170,0.258,48,28.9491525424,94.0
Ken Retzer,L,72,185,0.264,14,51.9428571429,122.0
Mike Brown,R,74,195,0.265,23,54.6101694915,99.0
Mike Brown,R,74,195,0.0,0,54.6101694915,99.0
Greg Walker,L,75,205,0.26,113,44.6666666667,48.0
Terry Harper,R,76,195,0.253,36,54.6101694915,99.0
Jerry Royster,R,72,165,0.249,40,33.5526315789,57.0
Steve Davis,L,73,195,0.0,0,74.1212121212,99.0
Jeff Rineer,L,76,205,0.0,0,44.6666666667,48.0
Barry Bonnell,R,75,190,0.272,56,51.0,120.0
Tom Seaver,R,73,195,0.154,12,54.6101694915,99.0
Jerry Martin,R,73,195,0.251,85,54.6101694915,99.0
Bill Stein,R,70,170,0.267,44,28.9491525424,94.0
Joel Youngblood,R,72,180,0.265,80,34.4868421053,134.0
Reggie Jackson,L,72,195,0.262,563,74.1212121212,99.0
Sonny Jackson,L,69,150,0.251,7,16.6666666667,12.0
Mark Mercer,L,77,220,0.0,0,39.2857142857,12.0
Rodney Scott,B,72,160,0.236,3,28.75,50.0
Rich Coggins,L,68,170,0.265,12,52.875,94.0
Phil Gagliano,R,73,180,0.238,14,34.4868421053,134.0
Jerry McNertney,R,72,180,0.237,27,34.4868421053,134.0
Mitchell Page,L,74,205,0.266,72,44.6666666667,48.0
Kiko Garcia,R,71,180,0.239,12,34.4868421053,134.0
Larry Milbourne,B,72,161,0.254,11,11.0,1.0
Bill Sudakis,B,73,190,0.234,59,27.0,120.0
John Caneira,R,75,180,0.0,0,34.4868421053,134.0
Domingo Ramos,R,70,154,0.24,8,5.0,2.0
Ron Oester,B,74,185,0.265,42,39.2727272727,122.0
Glenn Adams,L,73,180,0.28,34,43.6818181818,134.0
Clint Zavaras,R,73,175,0.0,0,34.3382352941,118.0
Joe Morgan,L,67,160,0.271,268,73.5714285714,50.0
R.J. Reynolds,B,72,190,0.267,35,27.0,120.0
Mike Parrott,R,76,210,0.0,0,49.28,33.0
Lee Thomas,L,74,195,0.255,106,74.1212121212,99.0
Ray Fosse,R,74,215,0.256,61,51.3157894737,23.0
Paul Popovich,B,72,175,0.233,14,17.7272727273,118.0
John Stephenson,L,71,180,0.216,12,43.6818181818,134.0
Doug Clemens,L,72,180,0.229,12,43.6818181818,134.0
Luis Aponte,R,72,185,0.0,0,33.0921052632,122.0
Orlando Mercado,R,72,180,0.199,7,34.4868421053,134.0
Charley Smith,R,73,170,0.239,69,28.9491525424,94.0
Paul Boris,R,74,200,0.0,0,65.9782608696,64.0
Buddy Biancalana,B,71,160,0.205,6,28.75,50.0
De Wayne Buice,R,72,170,0.0,0,28.9491525424,94.0
Bob Uecker,R,73,190,0.2,14,51.0,120.0
Felix Torres,R,71,165,0.254,27,33.5526315789,57.0
Steve Braun,L,70,180,0.271,52,43.6818181818,134.0
Ray Knight,R,73,185,0.271,84,33.0921052632,122.0
Ty Cline,L,72,170,0.238,6,52.875,94.0
Thad Bosley,L,75,175,0.272,20,47.3076923077,118.0
Bobby Grich,R,74,180,0.266,224,34.4868421053,134.0
Jimmie Hall,L,72,175,0.254,121,47.3076923077,118.0
John Boccabella,R,73,195,0.219,26,54.6101694915,99.0
Brock Davis,L,70,160,0.26,1,73.5714285714,50.0
Mark Esser,R,73,190,0.0,0,51.0,120.0
Curt Blefary,L,74,195,0.237,112,74.1212121212,99.0
Daryl Smith,R,76,185,0.0,0,33.0921052632,122.0
Dave Smith,R,73,190,0.0,0,51.0,120.0
Mack Jones,L,73,180,0.252,133,43.6818181818,134.0
Buddy Bradford,R,71,170,0.226,52,28.9491525424,94.0
Hosken Powell,L,73,175,0.259,17,47.3076923077,118.0
Dave Stapleton,L,73,185,0.0,0,51.9428571429,122.0
Dave Stapleton,R,73,178,0.271,41,20.7777777778,10.0
Gary Ward,R,74,195,0.276,130,54.6101694915,99.0
Jim Lonborg,R,77,200,0.136,3,65.9782608696,64.0
Joe Lis,R,72,175,0.233,32,34.3382352941,118.0
Dan Meyer,L,71,180,0.253,86,43.6818181818,134.0
Jim Holt,L,72,180,0.265,19,43.6818181818,134.0
Tom Klawitter,R,74,190,0.0,0,51.0,120.0
Larry Herndon,R,75,190,0.274,107,51.0,120.0
Gary Christenson,L,77,200,0.0,0,55.5333333333,64.0
Jim Wright,R,77,205,0.0,0,28.1818181818,48.0
Jim Wright,R,73,165,0.0,0,33.5526315789,57.0
Wallace Johnson,B,72,173,0.255,5,5.0,5.0
Mike Kinnunen,L,73,185,0.0,0,51.9428571429,122.0
Eddie Leon,R,72,170,0.236,24,28.9491525424,94.0
Dave Rajsich,L,77,175,0.0,0,47.3076923077,118.0
Jim Wohlford,R,71,175,0.26,21,34.3382352941,118.0
J.R. Richard,R,80,222,0.168,10,10.0,1.0
Bill Voss,L,74,160,0.227,19,73.5714285714,50.0
Keith Moreland,R,72,190,0.279,121,51.0,120.0
Ramon Pena,R,70,155,0.0,0,24.5,15.0
Alex Johnson,R,72,205,0.288,78,28.1818181818,48.0
Wayne Krenchicki,L,73,180,0.266,15,43.6818181818,134.0
Chico Escarrega,R,71,185,0.0,0,33.0921052632,122.0
Dave Rosello,R,71,160,0.236,10,33.875,50.0
Cardell Camper,R,75,208,0.0,0,77.5,2.0
Paul Schaal,R,71,165,0.244,57,33.5526315789,57.0
Tito Landrum,R,71,175,0.249,13,34.3382352941,118.0
Dave Edwards,R,72,170,0.237,14,28.9491525424,94.0
Mario Guerrero,R,70,155,0.257,7,24.5,15.0
Tom Tresh,B,73,180,0.245,153,69.6428571429,134.0
Mike Overy,R,74,190,0.0,0,51.0,120.0
Ron Roenicke,B,72,180,0.238,17,69.6428571429,134.0
Doug Griffin,R,72,160,0.245,7,33.875,50.0
Steve Blass,R,72,165,0.172,1,33.5526315789,57.0
Johnnie LeMaster,R,74,165,0.222,22,33.5526315789,57.0
Craig Chamberlain,R,73,190,0.0,0,51.0,120.0
Nate Oliver,R,70,160,0.226,2,33.875,50.0
Ray Sadecki,L,71,180,0.191,5,43.6818181818,134.0
Ken Rudolph,R,73,180,0.213,6,34.4868421053,134.0
Wayne Nordhagen,R,74,205,0.282,39,28.1818181818,48.0
Biff Pocoroba,B,70,175,0.257,21,17.7272727273,118.0
Len Matuszek,L,74,190,0.234,30,62.9583333333,120.0
Frank Eufemia,R,71,185,0.0,0,33.0921052632,122.0
Joe Lefebvre,L,70,170,0.258,31,52.875,94.0
Jim Maloney,L,74,190,0.201,7,62.9583333333,120.0
Andre Robertson,R,70,155,0.251,5,24.5,15.0
Jerry Zimmerman,R,74,185,0.204,3,33.0921052632,122.0
Jack Lazorko,R,71,200,0.0,0,65.9782608696,64.0
Mike Paxton,R,71,190,0.0,0,51.0,120.0
Chet Lemon,R,72,190,0.273,215,51.0,120.0
Rickey Keeton,R,74,190,0.0,0,51.0,120.0
Phil Mankowski,L,72,180,0.264,8,43.6818181818,134.0
Cleon Jones,R,72,185,0.281,93,33.0921052632,122.0
Joaquin Andujar,B,72,170,0.127,5,13.1818181818,94.0
Mike Lum,L,72,180,0.247,90,43.6818181818,134.0
Johnny Grubb,L,75,175,0.278,99,47.3076923077,118.0
Curt Motton,R,68,164,0.213,25,25.0,3.0
Johnny Bench,R,73,197,0.267,389,125.0,7.0
Dale Berra,R,72,180,0.236,49,34.4868421053,134.0
Terry Felton,R,73,180,0.0,0,34.4868421053,134.0
Bob Meacham,B,73,175,0.236,8,17.7272727273,118.0
Mark Clear,R,76,200,0.0,0,65.9782608696,64.0
Carl Warwick,R,70,170,0.248,31,28.9491525424,94.0
Sam Bowens,R,73,188,0.223,45,21.6666666667,8.0
George Wright,B,71,180,0.245,42,69.6428571429,134.0
Luis Aguayo,R,69,173,0.236,37,37.0,5.0
Hal Lanier,R,74,180,0.228,8,34.4868421053,134.0
Mike Pazik,L,74,195,0.0,0,74.1212121212,99.0
Len Randle,B,70,169,0.257,27,14.5,3.0
Greg Pryor,R,72,180,0.25,14,34.4868421053,134.0
Jim Traber,L,72,194,0.227,27,27.0,1.0
Dave Nelson,R,70,160,0.244,20,33.875,50.0
Lynn Jones,R,69,175,0.252,7,34.3382352941,118.0
Bryan Little,B,70,160,0.245,3,28.75,50.0
Ken Suarez,R,69,175,0.227,5,34.3382352941,118.0
Rick Peters,B,69,170,0.277,2,13.1818181818,94.0
Ron Stone,L,74,185,0.241,6,51.9428571429,122.0
Rich Barnes,R,76,186,0.0,0,19.5,4.0
Tommie Agee,R,71,195,0.255,130,54.6101694915,99.0
Bob Bailey,R,73,180,0.257,189,34.4868421053,134.0
Cap Peterson,R,74,195,0.23,19,54.6101694915,99.0
Ted Uhlaender,L,74,190,0.263,36,62.9583333333,120.0
Ted Simmons,B,71,193,0.285,248,124.0,9.0
Bobby Murcer,L,71,160,0.277,252,73.5714285714,50.0
Dick Tracewski,R,71,160,0.213,8,33.875,50.0
Dave Frost,R,78,235,0.0,0,0.0,2.0
Mark Souza,L,72,180,0.0,0,43.6818181818,134.0
Bill Nahorodny,R,74,200,0.241,25,65.9782608696,64.0
Bill Madlock,R,71,180,0.305,163,34.4868421053,134.0
Bob Boone,R,74,195,0.254,105,54.6101694915,99.0
Rick Jones,L,77,190,0.0,0,62.9583333333,120.0
Steve Kemp,L,72,195,0.278,130,74.1212121212,99.0
Rick Burleson,R,70,165,0.273,50,33.5526315789,57.0
Jim Dorsey,R,79,190,0.0,0,51.0,120.0
Mark Ciardi,R,72,180,0.0,0,34.4868421053,134.0
Dennis Burtt,R,72,180,0.0,0,34.4868421053,134.0
Carl Taylor,R,74,200,0.266,10,65.9782608696,64.0
Terry Harmon,R,74,180,0.233,4,34.4868421053,134.0
Mike Hargrove,L,72,195,0.29,80,74.1212121212,99.0
Rich Yett,R,74,187,0.0,0,57.9,11.0
Steve Hovley,L,70,188,0.258,8,137.5,8.0
Don Leppert,R,74,220,0.229,15,68.4,12.0
Matt Williams,R,73,200,0.0,0,65.9782608696,64.0
Jim Burton,R,75,195,0.0,0,54.6101694915,99.0
Rick Anderson,R,74,210,0.0,0,49.28,33.0
Charlie Mitchell,R,75,170,0.0,0,28.9491525424,94.0
Bill Paschall,R,72,175,0.0,0,34.3382352941,118.0
John Bohnet,B,72,175,0.0,0,17.7272727273,118.0
Byron McLaughlin,R,73,175,0.0,0,34.3382352941,118.0
Lee May,R,75,195,0.267,354,54.6101694915,99.0
Luis Quintana,L,74,175,0.0,0,47.3076923077,118.0
Sam McDowell,L,77,190,0.154,2,62.9583333333,120.0
Rick Renick,R,72,188,0.221,20,21.6666666667,8.0
Jeff Torborg,R,72,195,0.214,8,54.6101694915,99.0
Dave Campbell,R,73,180,0.213,20,34.4868421053,134.0
Pat Kelly,L,73,185,0.264,76,51.9428571429,122.0
Al Weis,B,72,160,0.219,7,28.75,50.0
Jerry Turner,L,69,180,0.257,45,43.6818181818,134.0
Rick Auerbach,R,72,165,0.22,9,33.5526315789,57.0
Keith Macwhorter,R,76,190,0.0,0,51.0,120.0
Don Wilson,R,74,195,0.146,1,54.6101694915,99.0
Jaime Cocanower,R,76,200,0.0,0,65.9782608696,64.0
Jeff Sellers,R,73,175,0.0,0,34.3382352941,118.0
Sandy Valdespino,L,68,170,0.23,7,52.875,94.0
Steve Senteney,R,74,205,0.0,0,28.1818181818,48.0
Howard Bailey,R,72,195,0.0,0,54.6101694915,99.0
Jeff Bettendorf,R,75,180,0.0,0,34.4868421053,134.0
Ken Phelps,L,73,209,0.239,123,123.0,3.0
Cesar Cedeno,R,74,175,0.285,199,34.3382352941,118.0
Bob Davidson,R,72,185,0.0,0,33.0921052632,122.0
Phil Linz,R,73,180,0.235,11,34.4868421053,134.0
Manny Mota,R,70,160,0.304,31,33.875,50.0
Brian Snyder,L,75,185,0.0,0,51.9428571429,122.0
Steve Renko,R,77,230,0.215,6,3.0,4.0
Rick Sofield,L,73,195,0.243,9,74.1212121212,99.0
Carlos Velazquez,R,71,180,0.0,0,34.4868421053,134.0
Roger Miller,R,75,200,0.0,0,65.9782608696,64.0
Doug DeCinces,R,74,190,0.259,237,51.0,120.0
John Castino,R,71,175,0.278,41,34.3382352941,118.0
Dave May,L,70,186,0.251,96,56.0,4.0
Ron Washington,R,71,155,0.261,20,24.5,15.0
Billy Grabarkewitz,R,70,165,0.236,28,33.5526315789,57.0
Willie Aikens,L,75,220,0.271,110,39.2857142857,12.0
Earl Williams,R,75,215,0.247,138,51.3157894737,23.0
Willie Mueller,R,76,220,0.0,0,68.4,12.0
John Flinn,R,72,175,0.0,0,34.3382352941,118.0
Don Hahn,R,73,180,0.236,7,34.4868421053,134.0
Todd Cruz,R,72,175,0.22,34,34.3382352941,118.0
Tom Egan,R,76,218,0.2,22,22.0,1.0
Bob Heise,R,72,175,0.247,1,34.3382352941,118.0
Tommy Harper,R,69,165,0.257,146,33.5526315789,57.0
Joe Wallis,B,71,180,0.244,16,69.6428571429,134.0
Max Alvis,R,71,185,0.247,111,33.0921052632,122.0
Rico Carty,R,75,200,0.299,204,65.9782608696,64.0
Mike Cubbage,L,72,180,0.258,34,43.6818181818,134.0
Les Straker,R,73,193,0.0,0,66.8,9.0
Merritt Ranew,L,71,170,0.247,8,52.875,94.0
Lyman Bostock,L,73,180,0.311,23,43.6818181818,134.0
Damaso Garcia,R,73,165,0.283,36,33.5526315789,57.0
Don Kainer,R,75,205,0.0,0,28.1818181818,48.0
Don Gordon,R,73,175,0.0,0,34.3382352941,118.0
Roy Howell,L,73,190,0.261,80,62.9583333333,120.0
Boog Powell,L,76,230,0.266,339,234.5,4.0
Sandy Wihtol,R,73,195,0.0,0,54.6101694915,99.0
Sonny Siebert,R,75,190,0.173,12,51.0,120.0
Jeff Richardson,R,75,185,0.0,0,33.0921052632,122.0
Bobby Darwin,R,74,190,0.251,83,51.0,120.0
Dennis DeBarr,L,74,190,0.0,0,62.9583333333,120.0
Dan Driessen,L,71,187,0.267,153,153.0,11.0
Bruce Miller,R,73,185,0.246,1,33.0921052632,122.0
Bob Bailor,R,71,170,0.264,9,28.9491525424,94.0
Tommy Helms,R,70,165,0.269,34,33.5526315789,57.0
Tony Armas,R,71,182,0.252,251,71.4,8.0
Willie Horton,R,71,209,0.273,325,242.0,3.0
Lou Piniella,R,72,182,0.291,102,71.4,8.0
Butch Hobson,R,73,193,0.248,98,66.8,9.0
John Wathan,R,74,205,0.262,21,28.1818181818,48.0
Hal King,L,73,200,0.214,24,55.5333333333,64.0
Mike Krukow,R,77,205,0.193,5,28.1818181818,48.0
Andres Mora,R,72,180,0.223,27,34.4868421053,134.0
Barry Foote,R,75,205,0.23,57,28.1818181818,48.0
Ed Ott,L,70,190,0.259,33,62.9583333333,120.0
Alan Wiggins,B,74,160,0.259,5,28.75,50.0
Ron Clark,R,70,175,0.189,5,34.3382352941,118.0
Jay Pettibone,R,76,182,0.0,0,71.4,8.0
Glen Cook,R,71,180,0.0,0,34.4868421053,134.0
Julio Gotay,R,72,180,0.26,6,34.4868421053,134.0
Gary Alexander,R,74,195,0.23,55,54.6101694915,99.0
Andre Thornton,R,75,200,0.254,253,65.9782608696,64.0
Bob Oliver,R,75,205,0.256,94,28.1818181818,48.0
Bill Castro,R,71,170,0.0,0,28.9491525424,94.0
Ed Hodge,L,74,192,0.0,0,0.0,8.0
Tom Buskey,R,75,200,0.0,0,65.9782608696,64.0
Bruce Taylor,R,72,178,0.0,0,20.7777777778,10.0
Stan Thomas,R,74,185,0.0,0,33.0921052632,122.0
Bob Robertson,R,73,195,0.242,115,54.6101694915,99.0
Larry Monroe,R,76,200,0.0,0,65.9782608696,64.0
Roger Slagle,R,75,190,0.0,0,51.0,120.0
Ollie Brown,R,74,178,0.265,102,20.7777777778,10.0
Jim Campbell,L,71,175,0.0,0,47.3076923077,118.0
Frank Quilici,R,73,170,0.214,5,28.9491525424,94.0
Curt Kaufman,R,74,175,0.0,0,34.3382352941,118.0
Joe Pepitone,L,74,185,0.258,219,51.9428571429,122.0
Steve Barber,L,72,195,0.115,5,74.1212121212,99.0
De Wayne Vaughn,R,71,180,0.0,0,34.4868421053,134.0
Norm Miller,L,70,185,0.238,24,51.9428571429,122.0
Bob Galasso,L,73,205,0.0,0,44.6666666667,48.0
Rich Wortham,R,72,185,0.0,0,33.0921052632,122.0
Bob Chance,L,74,196,0.261,24,25.0,4.0
Julio Cruz,B,69,165,0.237,23,10.6,57.0
Bill Sample,R,69,175,0.272,46,34.3382352941,118.0
Juan Nieves,L,75,175,0.0,0,47.3076923077,118.0
Mike Bacsik,R,74,180,0.0,0,34.4868421053,134.0
Craig Kusick,R,75,210,0.235,46,49.28,33.0
Rudy Meoli,L,69,165,0.212,2,44.2142857143,57.0
Ruppert Jones,L,70,170,0.25,147,52.875,94.0
Glenn Hoffman,R,73,175,0.242,23,34.3382352941,118.0
Russ Gibson,R,73,195,0.228,8,54.6101694915,99.0
